date,trans,symbol,qty,price,,
27/11/2016,BUY,MSFT,107.00,208.16,,
26/11/2016,SELL,APPL,81.00,8.69,,
25/11/2016,BUY,GOOG,115.00,195.99,,
24/11/2016,BUY,IBM,9.00,21.78,,
23/11/2016,SELL,GOOG,39.00,6.64,,
22/11/2016,BUY,APPL,39.00,7.3,,
21/11/2016,SELL,GOOG,62.00,42.76,,
20/11/2016,BUY,GOOG,109.00,138.14,,
19/11/2016,BUY,APPL,77.00,4.98,,
18/11/2016,BUY,GOOG,15.00,208.16,,
17/11/2016,BUY,IBM,32.00,8.69,,
16/11/2016,SELL,AMZN,78.00,195.99,,
15/11/2016,BUY,APPL,84.00,21.78,,
14/11/2016,BUY,APPL,107.00,6.64,,
13/11/2016,BUY,GOOG,70.00,7.3,,
12/11/2016,SELL,IBM,93.00,42.76,,
11/11/2016,BUY,GOOG,113.00,138.14,,
10/11/2016,BUY,MSFT,88.00,4.98,,
09/11/2016,SELL,AMZN,82.00,208.16,,
08/11/2016,SELL,GOOG,7.00,8.69,,
07/11/2016,BUY,IBM,90.00,195.99,,
06/11/2016,BUY,IBM,31.00,21.78,,
05/11/2016,SELL,MSFT,50.00,6.64,,
04/11/2016,SELL,GOOG,115.00,7.3,,
03/11/2016,BUY,IBM,59.00,42.76,,
02/11/2016,SELL,IBM,51.00,138.14,,
01/11/2016,BUY,AMZN,42.00,208.16,,
31/10/2016,SELL,APPL,29.00,8.69,,
30/10/2016,SELL,MSFT,37.00,195.99,,
29/10/2016,BUY,MSFT,75.00,21.78,,
28/10/2016,SELL,APPL,35.00,6.64,,
27/10/2016,SELL,GOOG,77.00,7.3,,
26/10/2016,SELL,MSFT,75.00,42.76,,
25/10/2016,BUY,IBM,1.00,138.14,,
24/10/2016,BUY,IBM,51.00,208.16,,
23/10/2016,SELL,MSFT,99.00,8.69,,
22/10/2016,SELL,GOOG,23.00,195.99,,
21/10/2016,SELL,AMZN,82.00,21.78,,
20/10/2016,SELL,AMZN,47.00,6.64,,
19/10/2016,SELL,IBM,87.00,7.3,,
18/10/2016,SELL,AMZN,83.00,42.76,,
17/10/2016,SELL,AMZN,2.00,138.14,,
16/10/2016,BUY,AMZN,119.00,4.98,,
